company name,industry,registered,scale
程光快递,道路运输业,105万(元),普通货运、货运代理服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。
传喜物流,装卸搬运和仓储业,50万(元),道路货物运输，国内货物运输代理，人工装卸服务，人工搬运服务，仓储服务（除危险化学品），物流装备信息咨询，五金交电、金属材料、汽车配件、摩托车配件、建筑材料、日用百货、办公用品、文具用品批发、零售。【依法须经批准的项目，经相关部门批准后方可开展经营活动。】
春风物流,道路运输业,"4,286万(元)",道路货物运输，货物运输代理，仓储服务（除危险品），装卸服务，物业管理，计算机软硬件、服装鞋帽、日用百货、玩具、工艺品（象牙及其制品除外）、电子产品、饰品、化妆品的销售，计算机领域内的技术开发、技术转让、技术咨询、技术服务 。 【依法须经批准的项目，经相关部门批准后方可开展经营活动】
村通快递,邮政业,500万(元),普通货物运输，仓储、配送、包装、装卸、物流信息服务，国内货运代理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
长风物流,装卸搬运和仓储业,"4,680万(元)",许可经营项目：普通货物运输、仓储、配送服务。（凭有效许可证经营）
长江国际速递,农副食品加工业,505万(元),碾米、磨粉、饲料的来料加工。
C&C国际速递,None,0,None
诚一物流,多式联运和运输代理业,"12,900万(元)",货运代理；仓储理货、装卸搬运配送服务；经济信息咨询；货物进出口、技术进出口、货车及配件、摩托车及配件、灯具、普通机械及配件、电器机械及器材、建筑材料、装饰材料、金属材料的销售。
承诺达,邮政业,100万(元),国内快递(邮政企业专营业务除外)、普通货物道路运输。
曹操到,批发业,300万(元),商品代购服务；普通商品配送服务；送餐服务；代驾服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。
昌宇国际,None,0,None
河北橙配,道路运输业,500万(元),国内快递（邮政企业专营业务除外）；普通货运；仓储服务（危险品除外）；搬倒装卸服务；企业管理咨询；预包装食品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
臣邦同城,批发业,100万(元),城市配送服务（凭许可证经营）；物流信息服务平台研发、物流信息咨询；汽车租赁；供应链管理服务；货运：普通货运（凭许可证经营）；经济信息咨询（不含金融、证券、期货及其他需专项审批项目；未经金融等监管部门批准，不得从事向公众融资存款、融资担保、代客理财等金融服务）；销售（含网上销售）：鞋、服装、饰品、工艺品（不含艺术品经营）、食品（凭许可证经营）、初级食用农产品、生活日用品。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
CE易欧通国际速递,None,0,None
DHL中国,零售业,1万(元),小百零售.（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
DHL国际,航空运输业,"5,000万(美元)",为DHL合资航空公司及DHL签约航空公司、货代及快件公司和货主提供进出港及过境货物、快件在上海浦东国际机场DHL枢纽内的处理服务，包括货运商务文件处理、货物接收、回收、过磅、仓储、分拣、拼装及拆装、配载、出货、场内搬运、堆放、信息处理、查询，以及上述业务的配套服务；承办进出口货物、国际展品、私人物品及过境货物运输代理，包括：揽货、托运、订舱、仓储、中转、集装箱拼箱拆箱、结算运杂费；报关、报验、相关的短途运输服务及运输咨询服务。国际快递（不含私人信函和县级以上党政军机关公文的寄递业务，邮政企业专营业务除外）。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
DHL中国,零售业,1万(元),小百零售.（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
DHL国际,航空运输业,"5,000万(美元)",为DHL合资航空公司及DHL签约航空公司、货代及快件公司和货主提供进出港及过境货物、快件在上海浦东国际机场DHL枢纽内的处理服务，包括货运商务文件处理、货物接收、回收、过磅、仓储、分拣、拼装及拆装、配载、出货、场内搬运、堆放、信息处理、查询，以及上述业务的配套服务；承办进出口货物、国际展品、私人物品及过境货物运输代理，包括：揽货、托运、订舱、仓储、中转、集装箱拼箱拆箱、结算运杂费；报关、报验、相关的短途运输服务及运输咨询服务。国际快递（不含私人信函和县级以上党政军机关公文的寄递业务，邮政企业专营业务除外）。【依法须经批准的项目，经相关部门批准后方可开展经营活动】
DHL德国,None,0,None
德邦快递,邮政业,100万(元),货物运输代理及仓储服务(不含危险化学品)，货物运输信息咨询，国内快递。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
东方快递,酒、饮料和精制茶制造业,280万(美元),生产各类食品、饮料、葡萄酒、果露酒、米酒、黄酒、料酒（凭有效许可证开展经营活动），销售本公司产品。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
递四方,None,0,None
大洋物流,多式联运和运输代理业,"3,750万(元)",一般经营项目是：国际货运代理（法律、行政法规、国务院决定规定需要交通部门审批的，需取得相关批准文件方可经营）；国内贸易（法律、行政法规、国务院决定规定在登记前须批准的项目除外）；经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；，许可经营项目是：报关报检业务；过境运输。
东方汇,其他金融业,"15,000万(元)",商品期货经纪、金融期货经纪、资产管理业务（法律、法规和国务院决定禁止的项目不得经营，依法须经批准的项目，经相关部门批准后方可开展经营活动）
东西E全运,商务服务业,50万(元),安全系统监控服务；其他安全保护服务；其他未列明商务服务业（不含需经许可审批的项目）；其他互联网服务（不含需经许可审批的项目）；信息技术咨询服务；其他未列明信息技术服务业（不含需经许可审批的项目）。
D速物流,None,0,None
达方物流,批发业,50万(元),国际货运代理、国内货运代理；国内贸易；经营进出口业务。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）^普通货运。
大众佐川急便,道路运输业,-,其他仓储业（不含原油、成品油仓储、燃气仓储、危险品仓储）;道路货物运输;
德方物流,道路运输业,714万(元),物流事务代理，普通货物运输；货物装卸、仓储服务（除危险品）；物流信息咨询，车辆事务代理，电子商务技术服务，汽车技术服务，汽车配件、建材、五金交电、水暖电器销售，室内外装璜安装。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
多道供应链,None,0,None
德中快递,商务服务业,50万(元),安全系统监控服务；其他安全保护服务；其他未列明商务服务业（不含需经许可审批的项目）；其他互联网服务（不含需经许可审批的项目）；信息技术咨询服务；其他未列明信息技术服务业（不含需经许可审批的项目）。
德坤物流,None,0,None
达速物流,邮政业,101万(元),道路货物运输（不含危险货物运输）；快递服务；远洋货物运输；沿海货物运输；内河货物运输；货运港口货物装卸、仓储服务；航空货物运输；铁路货物运输；其他仓储业（不含需经许可审批的项目）；其他航空运输辅助活动；国内货运代理；其他未列明运输代理业务（不含须经许可审批的事项）；机械设备仓储服务；其他农产品仓储；信息技术咨询服务；其他未列明信息技术服务业（不含需经许可审批的项目）；其他未列明服务业（不含需经许可审批的项目）；包装服务；经营各类商品和技术的进出口（不另附进出口商品目录），但国家限定公司经营或禁止进出口的商品及技术除外。
德豪驿,橡胶和塑料制品业,"17,500万(美元)",1、生产、加工制造轮胎内胎、轮胎外胎、人力车内外胎、子午线轮胎；再生胶、胶料、胶带及其他橡胶制品；橡胶机械、模具及其配件；上述所有产品的进出口、零售和批发业务（以上商品不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）。2、新产品、新工艺、新机电设备、新技术的研究与开发。
DHL Paket,None,0,None
德国云快递,None,0,None
递五方云仓,装卸搬运和仓储业,"10,000万(元)",仓储服务（不含危险化学品）；家庭服务；租赁机械设备；企业形象策划；设计、制作、代理、发布广告；技术推广、技术服务；会议服务；承办展览展示；组织文化艺术交流活动（不含演出）；国际航空货运代理；经济贸易咨询；货物进出口、技术进出口、代理进出口；销售日用品、五金、建筑材料（不含砂石及砂石制品）、汽车配件、机械设备、针纺织品、服装鞋帽、电子产品；普通货运。（企业依法自主选择经营项目，开展经营活动；道路货物运输以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
递五方云仓,None,0,None
db-station,None,0,None
大道物流,多式联运和运输代理业,"1,000万(元)",物流信息咨询；日用百货、五金、通用设备、家用电器、文具用品批零兼营；厂房租赁；物业管理。（涉及许可经营项目，应取得相关部门许可后方可经营）
德尚国际速递,纺织服装、服饰业,10万(元),毛巾加工。
德国 EUC POST,None,0,None
丹鸟,道路运输业,"2,252.7007万(元)",国内快递（邮政专营业务除外；经营地域：杭州、宁波、温州、嘉兴、绍兴、金华、衢州、丽水、台州、舟山）(上述经营范围应在批准的有效期内方可经营) 货运：普通货运；站场：货运站（场）经营（货运代理）（凭有效许可证经营）；服务：物流技术、信息技术的技术开发，供应链管理及咨询，货物进出口（国家法律、行政法规规定禁止经营的项目除外，法律、行政法规规定限制经营的项目取得许可证后方可经营），仓储（除化学危险品及易制毒化学品）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
大马鹿,None,0,None
EU-EXPRESS,None,0,None
EMS快递查询,None,0,None
EU-EXPRESS,None,0,None
EMS快递查询,None,0,None
EMS国际快递查询,None,0,None
俄顺达,多式联运和运输代理业,100万(元),道路货运代理；包装服务（不含气体包装）；经济贸易咨询。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
EWE全球快递,软件和信息技术服务业,50万(元),技术开发、技术转让、技术咨询、技术服务；计算机系统服务；基础软件服务、应用软件服务；经济贸易咨询；企业管理；市场调查；企业策划、设计。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
EASYEXPRESS国际速递,None,0,None
e直运,商务服务业,"200,000万(元)",投资兴办实业（具体项目另行申报）；市场营销策划、投资咨询及其它信息咨询（不含人才中介服务、证券及限制项目）；供应链管理；资产管理、资本管理、投资管理（不得从事信托、金融资产管理、证券资产管理等业务）。^
E跨通,货币金融服务,"1,142,489.4787万(元)",办理人民币存、贷、结算、汇兑业务；人民币票据承兑和贴现；各项信托业务；经监管机构批准发行或买卖人民币有价证券；外汇存款、汇款；境内境外借款；在境内境外发行或代理发行外币有价证券；贸易、非贸易结算；外币票据的承兑和贴现；外汇放款；代客买卖外汇及外币有价证券，自营外汇买卖；资信调查、咨询、见证业务；保险兼业代理业务；黄金进口业务；经有关监管机构批准或允许的其他业务。(《保险兼业代理业务许可证》有效期限至2015年5月1日)
E速达,多式联运和运输代理业,"2,500,000万(元)",国际、国内邮件寄递业务；国内快递、国际快递（有效期至2020年03月31日）；普通货运；广告业务；国际货运代理；货物仓储；信息处理；代客报关；邮购、电子销售；冷链服务；动产质押管理服务；供应链管理；载运海关监管货物；家用电器、办公用品、日用品、文体、集邮用品的销售； 实业投资；信息技术咨询；国际航线或者香港、澳门、台湾地区航线的航空货运销售代理业务（危险品除外）；国内航线除香港、澳门、台湾地区航线外的航空货运销售代理业务（危险品除外）；出租商业用房、出租办公用房；仓储服务、装卸服务、运输代理服务、大型物件运输（限外埠分支机构经营）；销售食品；危险货物运输（限廊坊市物流分公司经营）。（企业依法自主选择经营项目，开展经营活动；销售食品以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
EFS（平安快递）,None,0,None
FedEx快递查询,None,0,None
FedEx美国,None,0,None
FedEx快递查询,None,0,None
FedEx美国,None,0,None
FedEx英国,None,0,None
FOX国际速递,None,0,None
飞豹快递,邮政业,50万(元),国内快递（邮政企业专营除外）（许可证有效期至2021年02月19日止）(有效期限以许可证为准)。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。
泛捷国际速递,None,0,None
番薯国际货运,多式联运和运输代理业,50万(元),海上、航空、陆路国际货运代理；国内货运代理；物流信息咨询；供应链管理；国内贸易，货物及技术进出口。(法律、行政法规、国务院决定规定在登记前须经批准的项目除外） ^普通货运。
颿达国际快递,None,0,None
飞力士物流,批发业,"1,000万(元)",一般经营项目是：国内货运代理、国际陆路货运代理；国内贸易，货物及技术进出口（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）。，许可经营项目是：普通货运，货物专用运输（集装箱）、货物专用运输；仓储服务。
飞邦快递,科技推广和应用服务业,"4,134万(元)",技术开发、技术推广、技术转让、技术咨询、技术服务；计算机系统服务；销售计算机、软件及辅助设备、通讯设备、机械设备、自行开发后的产品、安全技术防范产品；会议服务；承办展览展示活动；企业策划；市场调查；第二类增值电信业务中的信息服务业务（不含固定网电话信息服务和互联网信息服务）；专业承包。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
丰程物流,多式联运和运输代理业,250万(元),货运代理，物流信息咨询服务，装卸服务，仓储服务，快递服务，普通货物运输，汽车租赁，企业管理咨询服务，销售：预包装食品。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。
